
============================================================
  DEVICE: SW06-PoE-24P-BIURO-1-P1  [10.0.100.16]  vendor: cisco
============================================================

Timestamp : 2026-05-15 12:24:16


------------------------------------------------------------
  CMD: show log
------------------------------------------------------------

Syslog logging: enabled (0 messages dropped, 0 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level emergencies, 0 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 40087 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    File logging: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 40053 message lines logged
Feb 25 20:45:48.001: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:45:51.057: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:45:52.059: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:49:46.504: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:49:48.512: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:49:50.505: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:49:56.125: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:49:59.182: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:50:00.184: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:52:24.652: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:52:26.660: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:52:28.584: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:52:34.105: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:52:37.167: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:52:38.169: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:55:02.496: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:55:04.504: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:55:06.543: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:55:12.106: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:55:15.205: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:55:16.206: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:57:40.691: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:57:42.699: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:57:45.451: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 20:57:47.465: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 20:57:48.618: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
